Cosmic Time [Gyr],SFR [Msun/yr],Metallicity
2.62750000,105.20001014,0.02218160
2.63950000,105.10135547,0.02193018
2.65150000,106.41302841,0.02195915
2.66350000,108.25341626,0.02205440
2.67550000,108.82350606,0.02210756
2.68750000,110.27859165,0.02205542
2.69950000,109.46745459,0.02204710
2.71150000,107.87082986,0.02201253
2.72350000,106.22555909,0.02197603
2.73550000,104.15637611,0.02156464
2.74750000,102.38907706,0.02131996
2.75950000,100.03745908,0.02112304
2.77150000,100.86078117,0.02085429
2.78350000,100.99781042,0.02052744
2.79550000,104.83297832,0.02024664
2.80750000,106.33125350,0.02003352
2.81950000,106.26818624,0.02016815
2.83150000,104.41532355,0.01997385
2.84350000,104.57230171,0.02021642
2.85550000,105.05746201,0.02035751
2.86750000,101.91220756,0.02022786
2.87950000,99.35197133,0.02045645
2.89150000,97.84460056,0.02072753
2.90350000,96.25014912,0.02106110
2.91550000,95.30823795,0.02122174
2.92750000,95.17490433,0.02128553
2.93950000,95.37753978,0.02150760
2.95150000,94.97022819,0.02169720
2.96350000,96.09209304,0.02192120
2.97550000,95.93904196,0.02243986
2.98750000,94.76913792,0.02271111
2.99950000,93.17159602,0.02303110
3.01150000,93.96609144,0.02327768
3.02350000,96.29350243,0.02335204
3.03550000,98.81848939,0.02354697
3.04750000,103.22821357,0.02379484
3.05950000,106.09803059,0.02373798
3.07150000,112.75689997,0.02400642
3.08350000,117.69037933,0.02404233
3.09550000,122.27871125,0.02422085
3.10750000,125.15041940,0.02407919
3.11950000,125.21430876,0.02396019
3.13150000,121.66121655,0.02368319
3.14350000,117.52985249,0.02357913
3.15550000,113.42526923,0.02309784
3.16750000,108.14004912,0.02280975
3.17950000,103.09764809,0.02238637
3.19150000,97.21706134,0.02211837
3.20350000,91.53767447,0.02172861
3.21550000,86.17780700,0.02163719
3.22750000,78.74734499,0.02174928
3.23950000,77.36539858,0.02191966
3.25150000,76.65531081,0.02246332
3.26350000,79.25410379,0.02304726
3.27550000,79.24936633,0.02382598
3.28750000,79.08474112,0.02432813
3.29950000,77.17003972,0.02471890
3.31150000,75.14211250,0.02499258
3.32350000,73.28940617,0.02482783
3.33550000,74.02193416,0.02481588
3.34750000,74.55329951,0.02472643
3.35950000,74.59940701,0.02457312
3.37150000,74.24234107,0.02409146
3.38350000,72.34496575,0.02400332
3.39550000,72.42157792,0.02342575
3.40750000,75.03693410,0.02320966
3.41950000,79.41960067,0.02253664
3.43150000,85.17191149,0.02255606
3.44350000,90.93358118,0.02282002
3.45550000,96.09566987,0.02289362
3.46750000,99.46579952,0.02289479
3.47950000,99.52709691,0.02252774
3.49150000,98.36426920,0.02289460
3.50350000,96.55071401,0.02314175
3.51550000,92.42077099,0.02341167
3.52750000,87.69073147,0.02368588
3.53950000,80.64690627,0.02381378
3.55150000,75.32705123,0.02404371
3.56350000,69.17438441,0.02407282
3.57550000,62.36239432,0.02432984
3.58750000,60.18832367,0.02394749
3.59950000,58.16440673,0.02341873
3.61150000,55.91914379,0.02272896
